Edad	RangoEdad	Sexo	EstadoCivil	TipoLocalidad	Comuna	Zona	Estrato	TipoVivienda	TiempoEnMedellin	PersonasConLasQueVive	AfiliacionSalud	NivelEstudio	Estudia	ValoracionOportunidadesDeLaCiudadParaEstudiar	ValoracionInstitucionEnHabilidadesDelMundoLaboral	ImpactoProfesoresEnLaVida	Trabaja	PercepcionOfertaLaboral	GastoSemanalTransporte	GastoSemanalRumba	GastoSemanalObligacionesFamiliares	EdadALaQueTuvoPrimerHijo	EdadPrimeraRelacionSexual	ConsumoDrogas	ConsumoCigarrillo	ConsumoLicor	FrecuenciaEjercicio	FrecuenciaLectura	ParticipacionMarchas	ActividadesComunitarias	ParticipacionVoluntariados	ParticipacionGrupoJuvenil
16	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Subsidiado/ Sisben	Grado 5	No	Favorable	Favorable	Muy favorable	Nunca he trabajado	Muy buena	6000	0	50000	No Aplica	14	No	No	Si	Casi nunca	Siempre	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tus padres/ hermanos	Siempre	4 personas	Subsidiado/ Sisben	Grado 11	Si	Desfavorable	Muy favorable	Favorable	Nunca he trabajado	Mala	30000	0	0	15	14	No	No	No	Casi nunca	Nunca	No	No	No	No
21	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tu propiedad	Siempre	5 personas	Subsidiado/ Sisben	Tecnologia Completa	No	Muy favorable	Muy favorable	Muy favorable	No	Buena	0	0	0	No Aplica	18	No	Si	Si	Casi nunca	A veces	No	Si	No	Si
17	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	3 personas	Subsidiado/ Sisben	Grado 7	No	Muy desfavorable	Muy favorable	Favorable	No	Ni buena/ Ni mala	30000	0	0	No Aplica	13	Si	No	Si	Siempre	Casi Siempre	No	No	No	Si
25	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Mas de 10 anos	3 personas	Beneficiario	Grado 11	Si	Desfavorable	Favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Buena	0	0	70000	21	16	No	Si	Si	Nunca	Nunca	No	No	No	No
19	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	3 personas	Subsidiado/ Sisben	Grado 11	No	Favorable	Desfavorable	Ni favorable/ Ni desfavorable	Si	Ni buena/ Ni mala	0	0	0	No Aplica	14	No	No	Si	A veces	Nunca	No	No	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Mas de 10 anos	4 personas	Subsidiado/ Sisben	Grado 6	Si	Muy favorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Nunca	Casi Siempre	Si	No	No	No
22	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	7 personas	Cotizante	Grado 11	No	Ni favorable/ Ni desfavorable	Favorable	Desfavorable	Si	Ni buena/ Ni mala	0	0	0	16	16	No	No	No	A veces	Casi Siempre	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	5 personas	Beneficiario	Tecnica incompleta o en curso	Si	Favorable	Favorable	Favorable	No	Ni buena/ Ni mala	0	0	0	17	15	No	No	Si	A veces	A veces	No	No	No	No
20	18-21	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Mas de 10 anos	3 personas	Subsidiado/ Sisben	Grado 11	No	Favorable	Favorable	Favorable	No	Ni buena/ Ni mala	0	0	0	19	18	No	No	No	A veces	A veces	No	No	No	No
15	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Subsidiado/ Sisben	Grado 7	Si	Muy favorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Nunca	Casi Siempre	Si	No	No	Si
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tus padres/ hermanos	De 1 a 5 anos	7 personas	Subsidiado/ Sisben	Grado 8	No	Favorable	Favorable	Favorable	No	Ni buena/ Ni mala	0	0	0	No Aplica	15	No	No	Si	Casi nunca	A veces	No	No	No	No
16	14-17	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	3 personas	Subsidiado/ Sisben	Tecnica incompleta o en curso	Si	Favorable	Favorable	Favorable	No	Ni buena/ Ni mala	0	0	0	15	15	No	No	No	A veces	A veces	No	No	No	No
24	22-26	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Menos de 1 ano	3 personas	Beneficiario	Grado 6	No	Favorable	Favorable	Favorable	No	Muy buena	0	0	0	19	18	No	No	No	A veces	Nunca	Si	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	14	No	No	Si	Casi nunca	A veces	No	No	No	No
23	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	3 personas	Subsidiado/ Sisben	Grado 4	Si	Favorable	Desfavorable	Favorable	No	Muy buena	0	0	0	20	12	No	No	Si	Nunca	Nunca	No	No	No	No
24	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	2 personas	Subsidiado/ Sisben	Grado 11	No	Desfavorable	Desfavorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	16	No	No	No	Siempre	Siempre	No	No	No	No
22	22-26	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	4 personas	Ninguno	Grado 8	Si	Favorable	Favorable	Favorable	No	Muy Mala	0	0	0	No Aplica	15	No	No	No	Casi Siempre	Siempre	No	No	No	No
17	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Subsidiado/ Sisben	Grado 11	Si	Favorable	Favorable	Ni favorable/ Ni desfavorable	No	Buena	0	0	0	No Aplica	No Aplica	No	No	Si	Siempre	Nunca	Si	No	No	No
17	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	3 personas	Beneficiario	Grado 11	Si	Favorable	Favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Casi Siempre	Siempre	No	No	No	Si
16	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	3 personas	Subsidiado/ Sisben	Grado 9	No	Favorable	Favorable	Favorable	No	Buena	0	0	0	No Aplica	12	Si	Si	Si	A veces	A veces	Si	No	No	No
15	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 7	No	Ni favorable/ Ni desfavorable	Favorable	Desfavorable	No	Nunca ha realizado	0	0	0	No Aplica	13	Si	No	Si	Casi Siempre	A veces	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 6	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	Nunca	Casi Siempre	No	No	No	No
19	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	7 personas	Beneficiario	Grado 11	Si	Favorable	Desfavorable	Favorable	No	Buena	0	0	0	No Aplica	15	Si	No	Si	Casi nunca	Casi nunca	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	6 personas	Subsidiado/ Sisben	Grado 11	Si	Favorable	Muy favorable	Favorable	No	Mala	0	0	0	No Aplica	11	No	No	Si	A veces	A veces	Si	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Grado 8	Si	Ni favorable/ Ni desfavorable	Muy favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	No Aplica	No	No	No	Siempre	Siempre	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	3 personas	Subsidiado/ Sisben	Grado 8	Si	Muy favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	No Aplica	No	No	Si	A veces	A veces	No	No	Si	Si
24	22-26	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Mas de 10 anos	4 personas	Subsidiado/ Sisben	Grado 4	Si	Ni favorable/ Ni desfavorable	Desfavorable	Desfavorable	No	Mala	0	0	0	19	18	No	No	Si	Casi nunca	A veces	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	6 personas	Subsidiado/ Sisben	Grado 10	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Nunca	A veces	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Mas de 10 anos	4 personas	Subsidiado/ Sisben	Grado 11	No	Favorable	Favorable	Muy favorable	No	Mala	0	0	0	19	17	No	Si	Si	Casi Siempre	Siempre	No	No	No	No
15	14-17	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Popular	NORORIENTAL	Estrato 1	Prestado por un familiar o amigo	Siempre	9 personas	Beneficiario	Grado 8	Si	Desfavorable	Muy favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	15	No	No	No	Casi Siempre	Siempre	No	No	No	Si
21	18-21	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 1	De tus padres/ hermanos	Siempre	8 personas	Subsidiado/ Sisben	Grado 8	No	Favorable	Muy favorable	Desfavorable	Nunca he trabajado	Nunca ha realizado	0	0	0	21	20	No	No	No	Nunca	A veces	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Nunca ha realizado	0	0	0	No Aplica	No Aplica	No	No	No	Siempre	Siempre	No	No	Si	Si
21	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tus padres/ hermanos	Menos de 1 ano	5 personas	Cotizante	Tecnica Completa	No	Favorable	Muy desfavorable	Favorable	Si	Muy Mala	0	0	0	No Aplica	17	No	No	Si	A veces	Casi Siempre	No	No	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	4 personas	Beneficiario	Grado 8	Si	Favorable	Ni favorable/ Ni desfavorable	Muy favorable	Nunca he trabajado	Mala	0	0	0	No Aplica	No Aplica	No	No	No	Nunca	Casi nunca	No	No	No	No
24	22-26	Mujer	Casado(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	6 personas	Beneficiario	Grado 5	No	Muy favorable	Ni favorable/ Ni desfavorable	Favorable	No	Mala	0	0	0	15	14	No	No	No	Nunca	Nunca	No	No	No	No
15	14-17	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 1	Alquilado	Siempre	4 personas	Beneficiario	Grado 6	No	Favorable	Favorable	Favorable	No	Buena	0	0	0	13	13	No	No	No	Casi nunca	Siempre	No	No	No	No
26	22-26	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	Alquilado	Mas de 10 anos	4 personas	Cotizante	Grado 8	Si	Ni favorable/ Ni desfavorable	Favorable	Favorable	Si	Buena	0	0	0	25	14	No	No	No	Casi nunca	Siempre	No	No	No	No
19	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Beneficiario	Tecnica incompleta o en curso	Si	Favorable	Muy favorable	Muy favorable	No	Ni buena/ Ni mala	0	0	0	No Aplica	15	No	Si	Si	Casi Siempre	Siempre	No	No	No	No
23	22-26	Mujer	No eres casado(a) y vives en pareja hace dos anos o mas	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	7 personas	Cotizante	Tecnica incompleta o en curso	Si	Muy favorable	Muy favorable	Favorable	Si	Mala	20000	20000	80000	17	17	No	No	Si	Casi nunca	Casi Siempre	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Mas de 10 anos	7 personas	Subsidiado/ Sisben	Grado 7	No	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	16	Si	Si	Si	A veces	Casi nunca	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	4 personas	Beneficiario	Grado 10	Si	Ni favorable/ Ni desfavorable	Muy favorable	Favorable	Nunca he trabajado	Buena	25000	0	0	No Aplica	16	No	No	Si	Casi Siempre	Casi nunca	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	Alquilado	Siempre	6 personas	Subsidiado/ Sisben	Grado 7	Si	Favorable	Muy favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	Casi Siempre	Casi nunca	No	No	No	No
17	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Mas de 10 anos	5 personas	Subsidiado/ Sisben	Grado 11	Si	Favorable	Muy favorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	16	15	No	No	Si	Casi nunca	Casi nunca	No	No	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Mas de 10 anos	Mas de 10 personas	Subsidiado/ Sisben	Grado 6	No	Favorable	Ni favorable/ Ni desfavorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	15	Si	Si	Si	Nunca	Nunca	No	No	No	No
23	22-26	Mujer	Casado(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	4 personas	Cotizante	Tecnica Completa	No	Ni favorable/ Ni desfavorable	Muy favorable	Favorable	Si	Ni buena/ Ni mala	30000	0	100000	17	17	No	No	No	Casi nunca	Casi Siempre	No	No	No	Si
15	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	8 personas	Beneficiario	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	Casi Siempre	A veces	Si	No	No	Si
14	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Prestado por un familiar o amigo	Siempre	10 personas	Subsidiado/ Sisben	Grado 7	Si	Favorable	Muy favorable	Muy favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	No	A veces	Casi nunca	Si	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	2 personas	Subsidiado/ Sisben	Grado 5	No	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Nunca he trabajado	Mala	0	0	0	19	15	Si	Si	Si	Nunca	Casi nunca	Si	No	No	No
20	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Tecnica incompleta o en curso	No	Favorable	Favorable	Favorable	No	Muy Mala	0	0	0	No Aplica	13	No	Si	Si	Siempre	Casi Siempre	No	No	No	No
14	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	De 1 a 5 anos	3 personas	Subsidiado/ Sisben	Grado 9	Si	Favorable	Ni favorable/ Ni desfavorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	10	No	No	No	Casi Siempre	Casi nunca	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	6 personas	Subsidiado/ Sisben	Grado 11	No	Muy favorable	Muy favorable	Muy favorable	No	Ni buena/ Ni mala	0	0	0	No Aplica	18	No	No	No	Casi nunca	A veces	No	No	No	No
26	22-26	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	5 personas	Subsidiado/ Sisben	Grado 10	No	Favorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	No	Buena	10000	0	50000	No Aplica	15	No	No	No	A veces	Casi nunca	Si	No	No	Si
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	4 personas	Beneficiario	Grado 11	Si	Muy favorable	Desfavorable	Ni favorable/ Ni desfavorable	No	Buena	30000	0	0	16	16	No	No	Si	Siempre	Casi nunca	No	No	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tu propiedad	Siempre	8 personas	Beneficiario	Grado 7	No	Muy desfavorable	Desfavorable	Muy desfavorable	Si	Buena	20000	25000	0	No Aplica	14	Si	Si	Si	Casi Siempre	A veces	Si	No	No	No
16	14-17	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	5 personas	Subsidiado/ Sisben	Grado 9	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	14	No	No	Si	Casi nunca	Casi nunca	No	No	No	Si
19	18-21	Mujer	Casado(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	2 personas	Beneficiario	Grado 11	Si	Ni favorable/ Ni desfavorable	Muy favorable	Favorable	No	Buena	50000	0	20000	No Aplica	16	Si	Si	Si	Casi Siempre	Casi Siempre	Si	No	No	Si
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	3 personas	Subsidiado/ Sisben	Universitaria Incompleta o en curso	Si	Favorable	Favorable	Favorable	No	Buena	20000	0	0	No Aplica	19	No	No	No	Casi nunca	Nunca	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	5 personas	Subsidiado/ Sisben	Grado 11	No	Favorable	Favorable	Favorable	No	Buena	25000	50000	70000	No Aplica	No Aplica	No	No	Si	A veces	A veces	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	4 personas	Beneficiario	Grado 9	Si	Muy favorable	Favorable	Muy favorable	No	Buena	0	0	0	No Aplica	12	No	No	No	A veces	A veces	Si	No	No	Si
14	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	4 personas	Subsidiado/ Sisben	Grado 8	Si	Favorable	Muy favorable	Ni favorable/ Ni desfavorable	Si	Buena	0	0	0	No Aplica	No Aplica	No	No	No	Casi Siempre	Casi Siempre	No	No	No	Si
15	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	6 personas	Subsidiado/ Sisben	Grado 7	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	15000	0	0	No Aplica	No Aplica	No	No	No	A veces	A veces	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tu propiedad	De 1 a 5 anos	3 personas	Subsidiado/ Sisben	Grado 11	Si	Favorable	Ni favorable/ Ni desfavorable	Favorable	Nunca he trabajado	Buena	16000	0	0	No Aplica	No Aplica	No	No	Si	Casi Siempre	Casi Siempre	Si	Si	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	6 personas	Beneficiario	Grado 9	Si	Muy favorable	Ni favorable/ Ni desfavorable	Favorable	No	Buena	40000	0	30000	No Aplica	18	No	No	Si	Casi nunca	Casi nunca	No	No	No	No
16	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	6 personas	Subsidiado/ Sisben	Grado 8	Si	Favorable	Favorable	Favorable	Nunca he trabajado	Buena	15000	0	0	No Aplica	No Aplica	No	No	No	A veces	A veces	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	Prestado por un familiar o amigo	Menos de 1 ano	4 personas	Subsidiado/ Sisben	Grado 9	No	Muy favorable	Favorable	Favorable	No	Buena	0	0	0	18	16	No	No	No	A veces	Nunca	No	No	No	No
22	22-26	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	3 personas	Subsidiado/ Sisben	Grado 7	No	Favorable	Favorable	Favorable	No	Buena	0	0	50000	No Aplica	14	No	No	No	A veces	Casi nunca	No	No	No	No
19	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	3 personas	Ninguno	Grado 11	No	Muy favorable	Favorable	Favorable	Nunca he trabajado	Buena	0	0	0	No Aplica	19	No	No	Si	Siempre	Casi Siempre	Si	No	No	Si
